profile,level,total_demand_vph,seed,policy,mean_wait,p50_wait,p95_wait,max_wait,mean_queue,max_queue,throughput_vph,residual_queue,n_vehicles
asymmetric,0.6,766.8,0,relay,5.1136,3.5,13.0,18.5,1.054,7,739.2,1,308
asymmetric,0.6,766.8,0,fixed_equal,10.8539,9.5,23.5,38.5,2.2397,9,739.2,2,308
asymmetric,0.6,766.8,0,fixed_webster,9.2094,7.5,26.5,42.0,1.8943,8,732.0,5,308
asymmetric,0.6,766.8,1,relay,5.3024,4.0,13.5,24.5,1.1667,6,792.0,0,329
asymmetric,0.6,766.8,1,fixed_equal,10.9301,10.0,23.5,25.5,2.4087,9,787.2,3,329
asymmetric,0.6,766.8,1,fixed_webster,8.3617,6.0,24.5,39.5,1.8433,9,787.2,4,329
asymmetric,0.6,766.8,2,relay,5.2666,5.0,13.0,18.5,1.061,9,727.2,0,302
asymmetric,0.6,766.8,2,fixed_equal,10.2401,8.5,23.5,26.0,2.0943,10,732.0,0,302
asymmetric,0.6,766.8,2,fixed_webster,7.3675,5.0,20.5,27.5,1.4917,8,729.6,0,302
asymmetric,0.6,766.8,3,relay,4.6016,3.5,12.0,20.0,0.957,7,748.8,0,310
asymmetric,0.6,766.8,3,fixed_equal,10.6774,10.0,23.5,34.5,2.2073,9,746.4,1,310
asymmetric,0.6,766.8,3,fixed_webster,8.3919,6.5,22.5,42.0,1.7363,8,746.4,1,310
asymmetric,0.6,766.8,4,relay,4.5,3.0,11.5,17.5,0.999,6,796.8,1,333
asymmetric,0.6,766.8,4,fixed_equal,10.994,10.0,23.5,33.5,2.462,11,801.6,1,333
asymmetric,0.6,766.8,4,fixed_webster,7.3333,5.0,20.0,30.0,1.6353,8,799.2,1,333
asymmetric,0.6,766.8,5,relay,5.183,4.0,12.0,15.0,1.164,6,801.6,3,336
asymmetric,0.6,766.8,5,fixed_equal,11.1235,9.5,23.5,30.5,2.5023,9,804.0,2,336
asymmetric,0.6,766.8,5,fixed_webster,8.186,6.0,22.5,43.5,1.8347,8,801.6,3,336
asymmetric,0.6,766.8,6,relay,5.1216,4.0,13.0,21.5,1.1233,7,787.2,1,329
asymmetric,0.6,766.8,6,fixed_equal,10.6353,10.0,23.5,26.0,2.3327,11,782.4,3,329
asymmetric,0.6,766.8,6,fixed_webster,7.769,5.5,23.0,41.0,1.704,7,789.6,1,329
asymmetric,0.6,766.8,7,relay,5.3643,4.5,13.5,22.0,1.216,7,816.0,0,339
asymmetric,0.6,766.8,7,fixed_equal,10.267,9.0,23.5,25.0,2.3317,11,818.4,0,339
asymmetric,0.6,766.8,7,fixed_webster,7.5442,5.5,19.0,39.5,1.7137,9,823.2,0,339
asymmetric,0.6,766.8,8,relay,4.0603,2.0,10.5,18.0,0.831,6,736.8,0,307
asymmetric,0.6,766.8,8,fixed_equal,11.4479,11.0,23.5,28.0,2.363,10,739.2,1,307
asymmetric,0.6,766.8,8,fixed_webster,8.2345,6.5,23.5,28.5,1.6853,7,736.8,0,307
asymmetric,0.6,766.8,9,relay,4.8646,4.0,12.0,16.5,1.0183,7,751.2,1,314
asymmetric,0.6,766.8,9,fixed_equal,10.8073,10.5,23.5,24.0,2.2837,10,753.6,2,314
asymmetric,0.6,766.8,9,fixed_webster,8.6927,7.0,24.5,31.5,1.8343,8,751.2,3,314
asymmetric,0.6,766.8,10,relay,5.3618,5.0,12.5,16.5,1.0937,7,729.6,2,304
asymmetric,0.6,766.8,10,fixed_equal,10.9605,10.0,23.5,24.0,2.2427,9,732.0,1,304
asymmetric,0.6,766.8,10,fixed_webster,8.7648,5.5,26.5,52.0,1.7847,8,732.0,1,304
asymmetric,0.6,766.8,11,relay,5.634,6.0,12.5,23.0,1.247,7,796.8,0,332
asymmetric,0.6,766.8,11,fixed_equal,11.5617,11.0,23.5,25.5,2.5817,9,799.2,1,332
asymmetric,0.6,766.8,11,fixed_webster,9.3057,8.0,23.0,38.0,2.067,8,794.4,2,332
asymmetric,0.6,766.8,12,relay,5.436,5.0,13.0,21.0,1.2177,6,804.0,1,336
asymmetric,0.6,766.8,12,fixed_equal,12.3943,12.5,24.0,41.5,2.7867,12,806.4,1,336
asymmetric,0.6,766.8,12,fixed_webster,8.5818,7.0,22.0,36.0,1.9233,8,806.4,1,336
asymmetric,0.6,766.8,13,relay,5.0102,4.0,12.0,26.0,1.152,7,828.0,0,344
asymmetric,0.6,766.8,13,fixed_equal,10.8808,9.0,23.5,30.0,2.531,9,832.8,0,344
asymmetric,0.6,766.8,13,fixed_webster,7.0349,4.5,19.5,41.0,1.6293,7,832.8,0,344
asymmetric,0.6,766.8,14,relay,5.0,4.0,12.0,21.0,1.1267,7,808.8,2,337
asymmetric,0.6,766.8,14,fixed_equal,12.1068,12.0,24.0,28.5,2.743,11,808.8,3,337
asymmetric,0.6,766.8,14,fixed_webster,8.9599,7.5,24.0,47.0,2.0323,10,813.6,2,337
asymmetric,0.6,766.8,15,relay,4.9896,3.0,14.0,24.5,1.1373,8,811.2,2,336
asymmetric,0.6,766.8,15,fixed_equal,11.3393,11.0,23.5,38.5,2.5847,11,818.4,1,336
asymmetric,0.6,766.8,15,fixed_webster,8.6369,7.5,20.0,32.5,1.967,9,813.6,2,336
asymmetric,0.6,766.8,16,relay,5.2647,4.0,13.0,20.5,1.137,7,775.2,1,323
asymmetric,0.6,766.8,16,fixed_equal,10.9706,10.5,23.5,28.5,2.373,10,775.2,1,323
asymmetric,0.6,766.8,16,fixed_webster,7.9272,6.0,22.5,28.0,1.7153,6,777.6,1,323
asymmetric,0.6,766.8,17,relay,5.0919,4.5,11.5,22.5,1.129,7,804.0,0,332
asymmetric,0.6,766.8,17,fixed_equal,10.5437,9.0,23.5,34.0,2.3447,12,799.2,1,332
asymmetric,0.6,766.8,17,fixed_webster,8.4352,7.0,23.0,39.0,1.8777,9,804.0,0,332
asymmetric,0.6,766.8,18,relay,5.0544,4.0,12.5,21.0,1.1153,10,789.6,2,331
asymmetric,0.6,766.8,18,fixed_equal,12.0347,12.5,23.5,33.0,2.6557,10,787.2,3,331
asymmetric,0.6,766.8,18,fixed_webster,8.3943,6.0,24.0,42.0,1.8523,10,782.4,5,331
