profile,level,total_demand_vph,n_seeds,relay_mean_wait_mean,relay_mean_wait_sd,relay_p50_wait_mean,relay_p50_wait_sd,relay_p95_wait_mean,relay_p95_wait_sd,relay_max_wait_mean,relay_max_wait_sd,relay_mean_queue_mean,relay_mean_queue_sd,relay_max_queue_mean,relay_max_queue_sd,relay_throughput_vph_mean,relay_throughput_vph_sd,fixed_equal_mean_wait_mean,fixed_equal_mean_wait_sd,fixed_equal_p50_wait_mean,fixed_equal_p50_wait_sd,fixed_equal_p95_wait_mean,fixed_equal_p95_wait_sd,fixed_equal_max_wait_mean,fixed_equal_max_wait_sd,fixed_equal_mean_queue_mean,fixed_equal_mean_queue_sd,fixed_equal_max_queue_mean,fixed_equal_max_queue_sd,fixed_equal_throughput_vph_mean,fixed_equal_throughput_vph_sd,fixed_webster_mean_wait_mean,fixed_webster_mean_wait_sd,fixed_webster_p50_wait_mean,fixed_webster_p50_wait_sd,fixed_webster_p95_wait_mean,fixed_webster_p95_wait_sd,fixed_webster_max_wait_mean,fixed_webster_max_wait_sd,fixed_webster_mean_queue_mean,fixed_webster_mean_queue_sd,fixed_webster_max_queue_mean,fixed_webster_max_queue_sd,fixed_webster_throughput_vph_mean,fixed_webster_throughput_vph_sd,red_vs_fixed_equal_mean,red_vs_fixed_equal_sd,red_vs_fixed_equal_min,red_vs_fixed_equal_max,paired_fixed_equal_n,paired_fixed_equal_mean_diff,paired_fixed_equal_sd_diff,paired_fixed_equal_t,paired_fixed_equal_p_ttest,paired_fixed_equal_p_wilcoxon,red_vs_fixed_webster_mean,red_vs_fixed_webster_sd,red_vs_fixed_webster_min,red_vs_fixed_webster_max,paired_fixed_webster_n,paired_fixed_webster_mean_diff,paired_fixed_webster_sd_diff,paired_fixed_webster_t,paired_fixed_webster_p_ttest,paired_fixed_webster_p_wilcoxon
asymmetric,0.6,766.8,30,4.992,0.317,4.017,0.725,12.2,0.664,18.133,2.549,1.078,0.101,6.867,1.042,774.48,40.146,11.023,0.621,10.183,1.071,23.55,0.153,29.883,5.638,2.395,0.222,10.0,1.597,776.16,40.123,8.362,0.596,6.483,1.004,22.683,2.091,39.033,7.677,1.807,0.153,8.133,0.9,775.28,40.443,54.58,3.75,48.64,64.53,30,6.031058,0.685846,48.164531,0.0,0.0,40.08,5.01,28.76,50.69,30,3.370597,0.589691,31.307095,0.0,0.0
asymmetric,0.8,1022.4,30,5.542,0.299,4.817,0.748,13.1,0.724,21.217,2.731,1.583,0.13,8.2,1.297,1021.92,45.377,11.845,0.709,11.433,1.104,24.167,1.561,36.517,6.006,3.4,0.28,11.9,1.647,1024.72,44.067,8.928,0.589,7.05,0.904,24.567,1.955,44.45,5.593,2.556,0.213,10.2,1.448,1024.24,44.534,53.02,4.13,42.72,60.7,30,6.302666,0.820044,42.096679,0.0,0.0,37.69,5.04,24.96,45.02,30,3.386178,0.628873,29.492207,0.0,0.0
asymmetric,1.0,1278.0,30,6.349,0.344,5.65,0.494,14.467,0.681,26.667,3.333,2.262,0.165,10.1,1.626,1277.76,47.724,13.9,0.822,13.417,0.983,29.95,3.39,49.95,9.622,4.982,0.388,16.367,2.282,1278.48,46.756,9.551,0.418,7.933,0.666,25.783,1.664,50.1,6.748,3.406,0.181,11.5,1.042,1276.24,47.084,54.11,4.48,41.13,60.29,30,7.550962,0.988448,41.841662,0.0,0.0,33.42,4.29,23.79,41.73,30,3.20145,0.504756,34.739672,0.0,0.0
asymmetric,1.2,1533.6,30,7.155,0.356,6.317,0.445,16.167,0.884,31.933,5.922,3.092,0.229,12.433,1.906,1548.88,55.926,19.178,3.138,17.2,1.95,48.167,14.09,69.85,18.098,8.355,1.486,21.733,3.832,1549.6,51.01,10.67,0.792,8.85,0.789,29.85,4.497,60.9,13.219,4.621,0.443,14.1,2.057,1547.84,56.93,61.78,6.21,49.16,72.45,30,12.023319,3.090438,21.309091,0.0,0.0,32.7,4.58,25.47,47.0,30,3.515964,0.753421,25.560387,0.0,0.0
asymmetric,1.4,1789.2,30,8.077,0.411,7.083,0.527,18.417,1.211,36.283,4.232,4.064,0.312,13.867,1.548,1800.96,67.983,45.076,17.225,30.333,9.685,122.4,57.278,150.217,56.481,22.936,9.246,42.5,13.65,1764.48,43.655,11.809,0.961,9.517,0.663,33.9,6.978,74.1,16.211,5.963,0.579,16.967,2.553,1803.92,65.689,79.75,6.78,63.83,91.1,30,36.999051,17.26925,11.734855,0.0,0.0,31.37,3.89,25.61,43.44,30,3.732567,0.766457,26.673531,0.0,0.0
balanced,0.6,769.0,30,6.079,0.289,6.0,0.0,13.133,0.706,18.9,2.756,1.319,0.098,6.8,0.961,779.28,39.062,10.495,0.568,9.567,1.15,23.383,0.252,26.3,3.706,2.284,0.196,9.067,1.413,778.96,39.136,9.898,0.422,9.433,0.763,20.983,0.091,25.7,3.914,2.153,0.15,8.5,1.137,779.84,39.707,41.96,3.27,36.15,49.03,30,4.415055,0.533062,45.364774,0.0,0.0,38.52,3.04,33.17,46.6,30,3.819028,0.410686,50.933494,0.0,0.0
balanced,0.8,1025.3,30,6.745,0.304,6.117,0.313,14.467,0.84,21.317,2.618,1.963,0.155,8.6,1.567,1041.68,45.912,10.902,0.402,10.233,0.796,23.5,0.0,28.433,4.911,3.174,0.185,11.3,1.622,1042.08,46.744,10.546,0.371,10.283,0.727,21.067,0.286,31.967,4.017,3.068,0.195,10.5,1.383,1041.04,44.221,38.03,3.9,26.53,45.44,30,4.156418,0.538438,42.280881,0.0,0.0,35.98,3.36,28.41,42.43,30,3.800803,0.444748,46.808234,0.0,0.0
balanced,1.0,1281.6,30,7.563,0.326,6.817,0.464,16.3,0.887,24.45,3.092,2.724,0.192,10.267,1.363,1291.36,46.465,11.422,0.328,10.917,0.543,23.567,0.217,33.517,5.626,4.122,0.201,12.667,1.516,1289.92,46.686,11.181,0.442,10.9,0.578,21.733,0.691,35.867,3.718,4.036,0.273,12.733,1.68,1290.48,46.221,33.75,3.06,29.43,41.21,30,3.859222,0.406666,51.978355,0.0,0.0,32.31,2.86,24.8,37.7,30,3.618126,0.393697,50.336349,0.0,0.0
balanced,1.2,1537.9,30,8.484,0.415,7.85,0.494,18.317,1.171,26.433,2.84,3.652,0.253,11.8,1.495,1542.48,49.46,12.115,0.557,11.8,0.877,24.0,0.682,36.85,4.68,5.217,0.295,14.467,1.306,1542.0,49.826,11.859,0.563,11.633,0.742,22.85,1.409,38.467,5.444,5.104,0.302,14.367,1.542,1538.08,49.047,29.88,3.97,20.66,37.1,30,3.631638,0.586349,33.924013,0.0,0.0,28.37,3.71,21.96,35.23,30,3.37525,0.538077,34.357561,0.0,0.0
balanced,1.4,1794.2,30,9.516,0.348,8.817,0.464,20.65,0.948,31.9,4.033,4.743,0.281,13.933,1.574,1785.12,60.451,13.205,0.608,12.983,0.76,26.2,1.622,45.15,6.567,6.593,0.469,17.767,2.161,1786.08,58.375,13.458,0.595,13.167,0.824,27.283,2.288,46.083,7.651,6.721,0.45,17.733,2.164,1781.28,61.678,27.85,2.84,21.85,31.82,30,3.689072,0.500522,40.369603,0.0,0.0,29.2,3.09,22.02,35.04,30,3.941675,0.544671,39.637618,0.0,0.0
