profile,level,seed,sw_relay_per_h,sw_fixed_per_h,green_frac_relay,green_frac_fixed,mean_green_relay
asymmetric,0.6,0,194.4,204.0,0.754,0.7433,13.7927
asymmetric,0.6,1,228.0,204.0,0.7123,0.7433,11.1302
asymmetric,0.6,2,225.6,204.0,0.718,0.7433,11.3368
asymmetric,0.6,3,194.4,204.0,0.755,0.7433,13.811
asymmetric,0.6,4,211.2,204.0,0.7333,0.7433,12.3596
asymmetric,0.6,5,230.4,204.0,0.71,0.7433,10.9794
asymmetric,0.6,6,216.0,204.0,0.73,0.7433,12.033
asymmetric,0.6,7,232.8,204.0,0.7063,0.7433,10.8112
asymmetric,0.6,8,192.0,204.0,0.76,0.7433,14.0741
asymmetric,0.6,9,213.6,204.0,0.733,0.7433,12.2167
asymmetric,0.8,0,240.0,204.0,0.7,0.7433,10.396
asymmetric,0.8,1,232.8,204.0,0.706,0.7433,10.8061
asymmetric,0.8,2,288.0,204.0,0.64,0.7433,7.9339
asymmetric,0.8,3,256.8,204.0,0.6773,0.7433,9.4074
asymmetric,0.8,4,256.8,204.0,0.679,0.7433,9.4306
asymmetric,0.8,5,290.4,204.0,0.635,0.7433,7.8074
asymmetric,0.8,6,247.2,204.0,0.6883,0.7433,9.9279
asymmetric,0.8,7,278.4,204.0,0.6507,0.7433,8.3419
asymmetric,0.8,8,240.0,204.0,0.6993,0.7433,10.3861
asymmetric,0.8,9,230.4,204.0,0.712,0.7433,11.0103
asymmetric,1.0,0,261.6,204.0,0.673,0.7433,9.1773
asymmetric,1.0,1,271.2,204.0,0.661,0.7433,8.6974
asymmetric,1.0,2,273.6,204.0,0.658,0.7433,8.5826
asymmetric,1.0,3,273.6,204.0,0.6557,0.7433,8.5522
asymmetric,1.0,4,276.0,204.0,0.655,0.7433,8.4698
asymmetric,1.0,5,295.2,204.0,0.631,0.7433,7.6331
asymmetric,1.0,6,249.6,204.0,0.6863,0.7433,9.8048
asymmetric,1.0,7,292.8,204.0,0.6317,0.7433,7.7033
asymmetric,1.0,8,242.4,204.0,0.6917,0.7433,10.1716
asymmetric,1.0,9,266.4,204.0,0.6623,0.7433,8.8705
asymmetric,1.2,0,266.4,204.0,0.6643,0.7433,8.8973
asymmetric,1.2,1,261.6,204.0,0.673,0.7433,9.1773
asymmetric,1.2,2,283.2,204.0,0.645,0.7433,8.1303
asymmetric,1.2,3,276.0,204.0,0.6513,0.7433,8.4224
asymmetric,1.2,4,276.0,204.0,0.652,0.7433,8.431
asymmetric,1.2,5,283.2,204.0,0.6453,0.7433,8.1345
asymmetric,1.2,6,235.2,204.0,0.704,0.7433,10.6667
asymmetric,1.2,7,264.0,204.0,0.6683,0.7433,9.0315
asymmetric,1.2,8,273.6,204.0,0.6573,0.7433,8.5739
asymmetric,1.2,9,254.4,204.0,0.6813,0.7433,9.5514
asymmetric,1.4,0,259.2,204.0,0.676,0.7433,9.3028
asymmetric,1.4,1,249.6,204.0,0.6823,0.7433,9.7476
asymmetric,1.4,2,271.2,204.0,0.661,0.7433,8.6974
asymmetric,1.4,3,249.6,204.0,0.688,0.7433,9.8286
asymmetric,1.4,4,249.6,204.0,0.6857,0.7433,9.7952
asymmetric,1.4,5,249.6,204.0,0.6877,0.7433,9.8238
asymmetric,1.4,6,247.2,204.0,0.691,0.7433,9.9663
asymmetric,1.4,7,264.0,204.0,0.67,0.7433,9.0541
asymmetric,1.4,8,261.6,204.0,0.6723,0.7433,9.1682
asymmetric,1.4,9,264.0,204.0,0.67,0.7433,9.0541
balanced,0.6,0,300.0,204.0,0.6213,0.7433,7.3968
balanced,0.6,1,288.0,204.0,0.64,0.7433,7.9339
balanced,0.6,2,319.2,204.0,0.599,0.7433,6.7052
balanced,0.6,3,280.8,204.0,0.649,0.7433,8.25
balanced,0.6,4,288.0,204.0,0.64,0.7433,7.9339
balanced,0.6,5,309.6,204.0,0.6113,0.7433,7.0538
balanced,0.6,6,285.6,204.0,0.6427,0.7433,8.0333
balanced,0.6,7,295.2,204.0,0.6287,0.7433,7.6048
balanced,0.6,8,268.8,204.0,0.664,0.7433,8.8142
balanced,0.6,9,319.2,204.0,0.6007,0.7433,6.7239
balanced,0.8,0,333.6,204.0,0.583,0.7433,6.2464
balanced,0.8,1,321.6,204.0,0.598,0.7433,6.6444
balanced,0.8,2,331.2,204.0,0.5823,0.7433,6.2842
balanced,0.8,3,321.6,204.0,0.5963,0.7433,6.6259
balanced,0.8,4,338.4,204.0,0.5743,0.7433,6.0669
balanced,0.8,5,340.8,204.0,0.574,0.7433,6.021
balanced,0.8,6,324.0,204.0,0.5923,0.7433,6.5331
balanced,0.8,7,328.8,204.0,0.5877,0.7433,6.3877
balanced,0.8,8,316.8,204.0,0.602,0.7433,6.7895
balanced,0.8,9,326.4,204.0,0.5903,0.7433,6.4635
balanced,1.0,0,321.6,204.0,0.595,0.7433,6.6111
balanced,1.0,1,345.6,204.0,0.5633,0.7433,5.8276
balanced,1.0,2,324.0,204.0,0.5943,0.7433,6.5551
balanced,1.0,3,333.6,204.0,0.583,0.7433,6.2464
balanced,1.0,4,338.4,204.0,0.5767,0.7433,6.0915
balanced,1.0,5,331.2,204.0,0.585,0.7433,6.3129
balanced,1.0,6,321.6,204.0,0.5963,0.7433,6.6259
balanced,1.0,7,333.6,204.0,0.583,0.7433,6.2464
balanced,1.0,8,326.4,204.0,0.592,0.7433,6.4818
balanced,1.0,9,336.0,204.0,0.5797,0.7433,6.1667
balanced,1.2,0,326.4,204.0,0.5897,0.7433,6.4562
balanced,1.2,1,319.2,204.0,0.601,0.7433,6.7276
balanced,1.2,2,314.4,204.0,0.6043,0.7433,6.8674
balanced,1.2,3,316.8,204.0,0.604,0.7433,6.812
balanced,1.2,4,314.4,204.0,0.6043,0.7433,6.8674
balanced,1.2,5,309.6,204.0,0.6123,0.7433,7.0654
balanced,1.2,6,300.0,204.0,0.624,0.7433,7.4286
balanced,1.2,7,316.8,204.0,0.604,0.7433,6.812
balanced,1.2,8,295.2,204.0,0.631,0.7433,7.6331
balanced,1.2,9,319.2,204.0,0.5987,0.7433,6.7015
balanced,1.4,0,300.0,204.0,0.6227,0.7433,7.4127
balanced,1.4,1,276.0,204.0,0.655,0.7433,8.4698
balanced,1.4,2,276.0,204.0,0.655,0.7433,8.4698
balanced,1.4,3,285.6,204.0,0.6413,0.7433,8.0167
balanced,1.4,4,276.0,204.0,0.6503,0.7433,8.4095
balanced,1.4,5,283.2,204.0,0.644,0.7433,8.1176
balanced,1.4,6,268.8,204.0,0.664,0.7433,8.8142
balanced,1.4,7,292.8,204.0,0.6327,0.7433,7.7154
balanced,1.4,8,283.2,204.0,0.646,0.7433,8.1429
balanced,1.4,9,280.8,204.0,0.6473,0.7433,8.2288
single,0.6,0,208.8,204.0,0.7377,0.7433,12.5739
single,0.6,1,208.8,204.0,0.7383,0.7433,12.5852
single,0.6,2,228.0,204.0,0.715,0.7433,11.1719
single,0.6,3,204.0,204.0,0.7423,0.7433,12.9477
single,0.6,4,230.4,204.0,0.7093,0.7433,10.9691
single,0.6,5,230.4,204.0,0.712,0.7433,11.0103
single,0.6,6,220.8,204.0,0.724,0.7433,11.6774
single,0.6,7,208.8,204.0,0.737,0.7433,12.5625
single,0.6,8,196.8,204.0,0.754,0.7433,13.6265
single,0.6,9,194.4,204.0,0.757,0.7433,13.8476
single,0.8,0,247.2,204.0,0.691,0.7433,9.9663
single,0.8,1,240.0,204.0,0.7,0.7433,10.396
single,0.8,2,254.4,204.0,0.6803,0.7433,9.5374
single,0.8,3,232.8,204.0,0.7077,0.7433,10.8316
single,0.8,4,276.0,204.0,0.6547,0.7433,8.4655
single,0.8,5,259.2,204.0,0.673,0.7433,9.2615
single,0.8,6,240.0,204.0,0.7,0.7433,10.396
single,0.8,7,244.8,204.0,0.693,0.7433,10.0922
single,0.8,8,218.4,204.0,0.727,0.7433,11.8533
single,0.8,9,228.0,204.0,0.7147,0.7433,11.1667
single,1.0,0,220.8,204.0,0.724,0.7433,11.6774
single,1.0,1,244.8,204.0,0.694,0.7433,10.1068
single,1.0,2,242.4,204.0,0.697,0.7433,10.25
single,1.0,3,237.6,204.0,0.703,0.7433,10.545
single,1.0,4,261.6,204.0,0.6703,0.7433,9.1409
single,1.0,5,249.6,204.0,0.6877,0.7433,9.8238
single,1.0,6,242.4,204.0,0.693,0.7433,10.1912
single,1.0,7,247.2,204.0,0.691,0.7433,9.9663
single,1.0,8,240.0,204.0,0.7,0.7433,10.396
single,1.0,9,244.8,204.0,0.694,0.7433,10.1068
single,1.2,0,196.8,204.0,0.754,0.7433,13.6265
single,1.2,1,225.6,204.0,0.718,0.7433,11.3368
single,1.2,2,230.4,204.0,0.7113,0.7433,11.0
single,1.2,3,230.4,204.0,0.712,0.7433,11.0103
single,1.2,4,244.8,204.0,0.691,0.7433,10.0631
single,1.2,5,218.4,204.0,0.7257,0.7433,11.8315
single,1.2,6,196.8,204.0,0.754,0.7433,13.6265
single,1.2,7,211.2,204.0,0.733,0.7433,12.3539
single,1.2,8,211.2,204.0,0.736,0.7433,12.4045
single,1.2,9,223.2,204.0,0.7183,0.7433,11.4628
single,1.4,0,187.2,204.0,0.766,0.7433,14.5443
single,1.4,1,168.0,204.0,0.79,0.7433,16.6901
single,1.4,2,158.4,204.0,0.8003,0.7433,17.9179
single,1.4,3,163.2,204.0,0.796,0.7433,17.3043
single,1.4,4,153.6,204.0,0.808,0.7433,18.6462
single,1.4,5,148.8,204.0,0.814,0.7433,19.381
single,1.4,6,172.8,204.0,0.784,0.7433,16.1096
single,1.4,7,170.4,204.0,0.7857,0.7433,16.3681
single,1.4,8,172.8,204.0,0.784,0.7433,16.1096
single,1.4,9,177.6,204.0,0.778,0.7433,15.56
