profile,level,n_seeds,sw_relay_per_h_mean,sw_relay_per_h_sd,sw_fixed_per_h_mean,sw_fixed_per_h_sd,green_frac_relay_mean,green_frac_relay_sd,green_frac_fixed_mean,green_frac_fixed_sd,mean_green_relay_mean,mean_green_relay_sd
asymmetric,0.6,10,216.72,16.5525,204.0,0.0,0.7276,0.021,0.7433,0.0,12.0398,1.2647
asymmetric,0.8,10,264.96,24.402,204.0,0.0,0.668,0.0304,0.7433,0.0,9.0922,1.197
asymmetric,1.0,10,281.52,15.054,204.0,0.0,0.6466,0.0185,0.7433,0.0,8.2301,0.6685
asymmetric,1.2,10,292.56,15.6133,204.0,0.0,0.6332,0.0186,0.7433,0.0,7.7592,0.6593
asymmetric,1.4,10,290.88,5.6342,204.0,0.0,0.6345,0.0072,0.7433,0.0,7.7921,0.2368
balanced,0.6,10,305.52,19.4993,204.0,0.0,0.6166,0.0243,0.7433,0.0,7.2524,0.7596
balanced,0.8,10,343.92,7.9236,204.0,0.0,0.5684,0.0109,0.7433,0.0,5.9134,0.2519
balanced,1.0,10,360.96,11.6592,204.0,0.0,0.5477,0.0142,0.7433,0.0,5.436,0.3243
balanced,1.2,10,364.08,7.2487,204.0,0.0,0.5431,0.0099,0.7433,0.0,5.3383,0.2066
balanced,1.4,10,358.8,5.3367,204.0,0.0,0.5504,0.0065,0.7433,0.0,5.488,0.1443
single,0.6,10,215.28,13.9048,204.0,0.0,0.7299,0.0175,0.7433,0.0,12.1322,1.0747
single,0.8,10,251.28,13.6259,204.0,0.0,0.6852,0.0174,0.7433,0.0,9.7603,0.7672
single,1.0,10,255.84,16.2067,204.0,0.0,0.6799,0.0204,0.7433,0.0,9.5287,0.9049
single,1.2,10,240.96,13.1551,204.0,0.0,0.698,0.0169,0.7433,0.0,10.3644,0.8025
single,1.4,10,193.2,10.5679,204.0,0.0,0.7578,0.0131,0.7433,0.0,13.9979,1.0306
