level,entering_vph,seed,policy,mean_delay,p50_delay,p95_delay,max_delay,mean_through_travel,p95_through_travel,mean_stops,mean_network_queue,max_network_queue,throughput_vph,residual,amb_corridor_time,amb_total_wait
0.6,769.0,0,relay_coupled,10.8799,9.6,20.6,28.3,24.7901,35.0,1.0457,2.189,9,748.8,2,19.5,5.1
0.6,769.0,0,relay_isolated,10.8978,9.6,20.8,28.3,24.8175,35.0,1.0457,2.1928,9,748.8,2,19.5,5.1
0.6,769.0,0,fixed_webster,27.1839,26.6,46.6,62.1,40.4632,59.0,2.0268,5.7335,16,739.8,5,36.0,21.6
0.6,769.0,0,fixed_coord,25.5043,23.1,48.6,71.6,37.3449,56.0,1.7681,5.3593,15,745.2,6,24.5,10.1
0.6,769.0,1,relay_coupled,10.7105,9.6,20.1,29.1,24.5386,34.5,1.0093,2.2635,10,770.4,2,27.5,13.1
0.6,769.0,1,relay_isolated,10.7256,9.6,20.1,29.1,24.5268,34.5,1.0117,2.2668,10,770.4,2,27.5,13.1
0.6,769.0,1,fixed_webster,25.5706,26.1,46.1,63.6,39.119,56.0,1.9104,5.5498,16,763.2,4,36.0,21.6
0.6,769.0,1,fixed_coord,25.5648,24.3,51.1,86.6,37.7483,55.5,1.7967,5.5672,14,770.4,7,24.5,10.1
0.6,769.0,2,relay_coupled,11.3593,9.6,22.6,32.6,25.0125,35.5,1.0946,2.3338,12,761.4,2,19.0,4.6
0.6,769.0,2,relay_isolated,11.3593,9.6,22.6,32.6,25.0125,35.5,1.0946,2.3338,12,761.4,2,19.0,4.6
0.6,769.0,2,fixed_webster,26.7122,27.6,46.1,64.1,39.4621,57.5,1.9641,5.6387,16,752.4,1,36.0,21.6
0.6,769.0,2,fixed_coord,26.388,25.1,51.1,82.1,37.3043,56.5,1.809,5.6525,18,763.2,2,24.5,10.1
0.6,769.0,3,relay_coupled,11.424,10.1,22.1,32.8,25.0466,36.0,1.1048,2.2945,9,756.0,1,18.0,3.6
0.6,769.0,3,relay_isolated,11.5012,10.1,21.8,43.8,25.0627,35.5,1.1024,2.3108,9,756.0,1,18.0,3.6
0.6,769.0,3,fixed_webster,27.0456,26.6,46.8,77.8,39.9909,56.5,1.9711,5.6365,16,747.0,4,36.0,21.6
0.6,769.0,3,fixed_coord,26.331,25.6,50.6,70.1,37.5487,59.5,1.8852,5.48,16,752.4,4,24.5,10.1
0.6,769.0,4,relay_coupled,11.6934,10.1,22.3,43.8,24.9007,34.5,1.156,2.4503,11,784.8,1,20.0,5.6
0.6,769.0,4,relay_isolated,11.6934,10.1,22.3,43.8,24.9007,34.5,1.156,2.4503,11,784.8,1,20.0,5.6
0.6,769.0,4,fixed_webster,27.221,26.6,49.1,59.1,40.1166,59.0,1.9464,5.8572,17,772.2,4,36.0,21.6
0.6,769.0,4,fixed_coord,26.2735,25.1,50.3,73.6,37.4155,56.5,1.8032,5.684,16,777.6,6,24.5,10.1
0.6,769.0,5,relay_coupled,11.5259,10.1,22.1,32.6,25.2122,36.0,1.1631,2.3495,10,761.4,2,23.0,8.6
0.6,769.0,5,relay_isolated,11.5259,10.1,22.1,32.6,25.2122,36.0,1.1631,2.3495,10,761.4,2,23.0,8.6
0.6,769.0,5,fixed_webster,28.1737,28.1,48.1,72.1,41.0704,60.5,1.9618,5.9145,16,754.2,3,36.0,21.6
0.6,769.0,5,fixed_coord,26.7585,26.1,51.6,71.6,37.5129,57.0,1.7488,5.6475,15,759.6,5,24.5,10.1
0.6,769.0,6,relay_coupled,10.8148,9.6,21.1,28.1,24.396,33.5,1.037,2.2477,10,777.6,1,30.0,15.6
0.6,769.0,6,relay_isolated,10.8887,9.6,20.8,28.1,24.4802,33.5,1.0417,2.2637,10,777.6,1,30.0,15.6
0.6,769.0,6,fixed_webster,26.2486,26.6,47.1,59.6,39.3829,57.0,1.9882,5.6725,16,763.2,4,36.0,21.6
0.6,769.0,6,fixed_coord,24.6062,24.1,45.1,68.3,36.5861,55.0,1.7332,5.2657,18,775.8,2,24.5,10.1
0.6,769.0,7,relay_coupled,11.0,9.6,22.1,26.8,25.1337,36.0,1.1108,2.138,8,714.6,2,23.5,9.1
0.6,769.0,7,relay_isolated,11.0,9.6,22.1,26.8,25.1337,36.0,1.1108,2.138,8,714.6,2,23.5,9.1
0.6,769.0,7,fixed_webster,27.2388,26.6,50.3,77.1,39.0889,57.0,1.9666,5.4177,18,700.2,5,36.0,21.6
0.6,769.0,7,fixed_coord,25.9577,25.1,50.6,72.6,37.4141,54.5,1.7056,5.206,15,709.2,6,24.5,10.1
0.6,769.0,8,relay_coupled,11.0184,9.6,20.6,35.6,24.7811,34.5,1.019,2.241,10,757.8,3,26.5,12.1
