seed,level,arm,settle,stage_at_call,phase_at_call,elapsed_at_call,already_green,latency_relay,latency_fixed,green_hold_relay,level_name
10000,0.6,E,109.35,YELLOW,NS,1.0,0,3.650101985798898,12.650101985798898,73.0,light
10001,0.6,N,82.75,GREEN,NS,17.5,1,0.2451921738144165,21.745192173814416,79.5,light
10002,0.6,N,86.79,GREEN,NS,35.5,1,0.20931056702305284,17.709310567023053,76.5,light
10003,0.6,N,144.8,GREEN,NS,35.5,1,0.1999307846266447,0.1999307846266447,77.5,light
10004,0.6,N,112.8,GREEN,EW,0.5,0,6.198243304807548,0.19824330480754782,70.5,light
10005,0.6,W,136.01,YELLOW,NS,0.0,0,4.9928622368285005,20.9928622368285,72.0,light
10006,0.6,S,68.58,YELLOW,NS,2.5,0,8.915296147021138,0.915296147021138,71.0,light
10007,0.6,E,70.79,YELLOW,EW,2.5,0,8.714966808306173,16.214966808306173,68.0,light
10008,0.6,W,57.38,YELLOW,EW,1.5,0,9.623452904820823,0.12345290482082305,67.0,light
10009,0.6,E,78.25,ALLRED,EW,0.0,0,10.251779727215876,8.751779727215876,66.5,light
10010,0.6,E,106.12,YELLOW,NS,0.0,0,4.877876105948459,15.87787610594846,72.0,light
10011,0.6,E,57.86,YELLOW,NS,0.0,0,4.644220274828612,0.1442202748286121,72.0,light
10012,0.6,N,94.62,YELLOW,NS,0.5,0,10.882959798609718,9.882959798609718,67.0,light
10013,0.6,N,82.64,GREEN,EW,1.5,0,8.360465085157074,21.860465085157074,68.5,light
10014,0.6,E,90.4,YELLOW,NS,0.0,0,4.60180740314587,0.10180740314586956,72.0,light
10015,0.6,S,55.65,GREEN,NS,26.0,1,0.3468670639296647,13.846867063929665,77.5,light
10016,0.6,N,94.67,YELLOW,EW,0.0,0,4.830838261121485,9.830838261121485,75.0,light
10017,0.6,W,114.67,GREEN,EW,0.0,1,0.3289926767692464,7.328992676769246,76.5,light
10018,0.6,S,103.07,GREEN,NS,4.0,1,0.4309075052970286,1.4309075052970286,76.5,light
10019,0.6,N,99.36,GREEN,NS,16.5,1,0.14104129973836166,5.141041299738362,76.5,light
10020,0.6,N,129.87,GREEN,NS,39.5,1,0.1273109610631309,9.627310961063131,79.5,light
10021,0.6,S,109.14,YELLOW,NS,0.5,0,12.85988328293864,0.3598832829386396,73.0,light
10022,0.6,W,127.29,YELLOW,NS,0.0,0,4.710974052646989,0.2109740526469892,72.0,light
10023,0.6,S,115.2,ALLRED,NS,1.0,0,6.798473262198087,0.2984732621980868,71.0,light
10024,0.6,N,58.41,GREEN,NS,21.5,1,0.09207575120312583,11.092075751203126,76.5,light
10025,0.6,S,96.22,GREEN,NS,20.0,1,0.2849017285081459,8.284901728508146,79.5,light
10026,0.6,E,107.57,GREEN,NS,0.5,0,9.433214602273551,14.433214602273551,67.5,light
10027,0.6,W,66.21,GREEN,NS,2.0,0,7.789133720833377,20.789133720833377,69.0,light
10028,0.6,S,78.84,YELLOW,EW,1.0,0,3.658366087658891,0.15836608765889082,73.5,light
10029,0.6,W,61.74,ALLRED,NS,0.5,0,1.2567692598254894,0.25676925982548937,75.5,light
10030,0.6,E,111.81,YELLOW,NS,0.0,0,4.68582522509449,10.18582522509449,72.0,light
10031,0.6,N,82.32,GREEN,NS,10.0,1,0.17598442438956852,22.17598442438957,79.5,light
10032,0.6,W,40.53,GREEN,NS,2.5,0,6.465430704216693,11.465430704216693,70.5,light
10033,0.6,S,106.43,GREEN,NS,11.5,1,0.07324399194941122,0.07324399194941122,76.5,light
10034,0.6,N,100.71,GREEN,NS,6.0,1,0.2904005976067907,3.7904005976067907,76.5,light
10035,0.6,N,132.66,YELLOW,NS,2.0,0,9.344786956854364,6.844786956854364,67.5,light
10036,0.6,N,79.06,YELLOW,NS,2.5,0,10.94365152512556,0.44365152512555994,66.0,light
10037,0.6,W,55.11,YELLOW,NS,0.0,0,4.8928465307198366,0.39284653071983655,72.0,light
10038,0.6,E,51.09,YELLOW,NS,0.0,0,4.907484758313267,0.9074847583132666,72.0,light
10039,0.6,W,69.11,YELLOW,EW,2.5,0,11.886839206445117,17.886839206445117,65.0,light
10040,0.6,E,125.65,ALLRED,NS,0.5,0,1.3451919360347517,0.34519193603475173,75.5,light
10041,0.6,E,145.89,GREEN,NS,2.0,0,7.60509937584294,11.10509937584294,69.0,light
10042,0.6,W,83.2,YELLOW,NS,0.0,0,4.795696341863902,3.795696341863902,72.0,light
10043,0.6,E,50.13,ALLRED,EW,0.0,0,11.368990875019058,1.8689908750190583,65.5,light
10044,0.6,W,63.94,GREEN,NS,0.5,0,9.059552418762927,0.05955241876292661,67.5,light
10045,0.6,N,73.03,GREEN,NS,28.5,1,0.47467242976108537,0.47467242976108537,79.5,light
10046,0.6,W,77.51,GREEN,EW,2.0,1,0.49300307429547274,9.493003074295473,76.5,light
10047,0.6,E,97.44,GREEN,NS,1.0,0,5.55909432914423,0.05909432914423007,71.0,light
10048,0.6,W,116.24,GREEN,EW,3.0,1,0.25655560389205334,5.756555603892053,76.5,light
10049,0.6,W,40.82,YELLOW,NS,0.0,0,4.678929821512767,11.178929821512767,72.0,light
10050,0.6,W,62.49,YELLOW,NS,0.0,0,4.510885912766625,0.010885912766624983,72.0,light
10051,0.6,W,83.41,YELLOW,NS,0.0,0,4.58732175266185,3.5873217526618504,72.0,light
10052,0.6,W,95.34,YELLOW,NS,0.0,0,4.658105502087295,0.15810550208729524,72.0,light
10053,0.6,W,99.27,ALLRED,NS,0.0,0,1.7294127028633284,0.22941270286332838,75.0,light
10054,0.6,N,126.14,ALLRED,EW,0.0,0,1.8550915277061648,13.355091527706165,75.0,light
10055,0.6,W,112.42,YELLOW,NS,0.0,0,4.576265446299786,9.576265446299786,72.0,light
10056,0.6,N,153.52,GREEN,NS,23.5,1,0.4832058235301133,20.983205823530113,79.5,light
10057,0.6,E,47.7,ALLRED,EW,1.0,0,10.296503811272018,4.296503811272018,66.5,light
10058,0.6,E,67.32,YELLOW,EW,1.5,0,12.677071427582405,19.677071427582405,64.0,light
10059,0.6,E,76.45,YELLOW,NS,0.0,0,4.547251187102631,10.547251187102631,72.0,light
10060,0.6,S,96.29,YELLOW,EW,2.0,0,2.7086009949455843,8.208600994945584,75.0,light
10061,0.6,W,115.09,YELLOW,EW,2.0,0,9.409008886012572,6.909008886012572,67.5,light
10062,0.6,W,92.15,GREEN,NS,4.0,0,5.851839445504012,0.35183944550401236,71.0,light
10063,0.6,W,63.9,YELLOW,NS,1.5,0,3.0950590420146824,0.0950590420146824,73.5,light
10064,0.6,E,153.03,YELLOW,NS,0.0,0,4.971374355677597,3.9713743556775967,72.0,light
10065,0.6,S,142.2,YELLOW,NS,0.5,0,10.796688727945877,0.2966887279458774,67.0,light
10066,0.6,N,82.8,YELLOW,EW,0.0,0,4.703690096320997,21.703690096320997,72.0,light
10067,0.6,E,81.82,YELLOW,NS,0.0,0,4.678102377054159,5.178102377054159,72.0,light
10068,0.6,N,40.65,YELLOW,NS,0.5,0,10.851731501862098,0.3517315018620977,66.0,light
10069,0.6,S,77.67,GREEN,NS,35.5,1,0.3314792806944524,0.3314792806944524,76.5,light
10070,0.6,E,147.65,GREEN,EW,1.5,1,0.3532381907667741,9.353238190766774,76.5,light
10071,0.6,W,64.47,GREEN,EW,2.0,1,0.027201649491189528,0.027201649491189528,76.5,light
10072,0.6,W,144.57,YELLOW,NS,0.0,0,4.927042521251224,12.427042521251224,72.0,light
10073,0.6,N,154.31,YELLOW,EW,0.5,0,4.188750797879436,20.188750797879436,72.5,light
10074,0.6,S,43.69,YELLOW,EW,1.0,0,3.8121913781537202,0.3121913781537202,73.0,light
10075,0.6,W,113.22,GREEN,EW,5.0,1,0.2775090057862428,8.777509005786243,76.5,light
10076,0.6,N,134.0,GREEN,NS,8.0,1,0.49612819108301665,5.496128191083017,76.5,light
10077,0.6,N,52.33,ALLRED,NS,0.0,0,8.16947894100575,17.16947894100575,69.5,light
10078,0.6,S,159.06,GREEN,NS,31.0,1,0.4370973301372487,15.437097330137249,76.5,light
10079,0.6,E,79.22,YELLOW,NS,0.0,0,4.7774893057053305,7.7774893057053305,72.0,light
10080,0.6,W,143.42,GREEN,EW,4.5,1,0.07986311819203706,13.579863118192037,76.5,light
10081,0.6,S,64.7,GREEN,NS,4.5,1,0.295906475576146,4.795906475576146,77.5,light
10082,0.6,S,51.23,ALLRED,NS,0.0,0,8.273720596513556,18.273720596513556,69.5,light
10083,0.6,S,92.43,GREEN,NS,29.5,1,0.06666379506681608,12.066663795066816,77.5,light
10084,0.6,E,112.66,GREEN,EW,6.5,1,0.3445420494686431,9.344542049468643,76.5,light
10085,0.6,S,105.43,GREEN,NS,18.0,1,0.07295539727489597,0.07295539727489597,79.5,light
10086,0.6,N,45.23,GREEN,NS,9.0,1,0.27246907317477564,0.27246907317477564,79.5,light
10087,0.6,S,124.31,GREEN,NS,0.5,1,0.19458371023098664,15.194583710230987,79.5,light
10088,0.6,S,48.48,GREEN,NS,16.5,1,0.019804449685722147,21.019804449685722,76.5,light
10089,0.6,N,135.47,GREEN,NS,24.5,1,0.03338729844483623,4.033387298444836,76.5,light
10090,0.6,N,145.68,ALLRED,NS,1.0,0,7.816171967303063,0.3161719673030632,69.0,light
10091,0.6,W,151.23,YELLOW,EW,0.5,0,10.772521080398178,5.772521080398178,66.0,light
10092,0.6,N,87.15,GREEN,NS,2.0,1,0.3499782753306988,17.3499782753307,90.5,light
10093,0.6,W,44.65,YELLOW,NS,0.0,0,4.848978116108057,7.348978116108057,72.0,light
10094,0.6,E,146.18,YELLOW,NS,0.0,0,4.821296384351882,10.821296384351882,72.0,light
10095,0.6,W,48.0,YELLOW,NS,0.0,0,4.999905257524475,3.9999052575244747,72.0,light
10096,0.6,N,79.67,GREEN,NS,12.5,1,0.3312390535842269,0.3312390535842269,79.5,light
10097,0.6,W,40.76,YELLOW,NS,0.0,0,4.738429261899135,11.238429261899135,72.0,light
10098,0.6,N,128.11,GREEN,NS,28.0,1,0.38646430353264805,11.386464303532648,76.5,light
10099,0.6,W,77.13,YELLOW,EW,2.5,0,10.868955625578053,9.868955625578053,66.0,light
10100,0.6,E,146.75,YELLOW,NS,0.0,0,4.750857593440003,10.250857593440003,72.0,light
10101,0.6,S,129.79,YELLOW,NS,1.0,0,10.20574875278578,9.70574875278578,80.5,light
10102,0.6,S,121.8,ALLRED,NS,0.0,0,10.200392943946852,17.700392943946852,69.5,light
10103,0.6,N,77.93,GREEN,NS,7.5,1,0.06999490999506008,0.06999490999506008,76.5,light
