t_s,infer_ms,n_boxes,phase,stage,n_W,pcu_W,n_E,pcu_E,det_car,det_motorcycle,det_bus,det_truck,det_ambulance,det_bicycle,det_autorickshaw
0.0,349.65,41,,,6.3,3.12,7.0,4.87,10,29,2,0,0,0,0
0.033,123.65,33,,,10.04,5.03,9.45,6.91,8,23,2,0,0,0,0
0.067,133.03,34,,,12.83,6.39,11.04,8.23,8,24,2,0,0,0,0
0.1,227.17,31,,,14.29,7.16,11.03,8.01,8,22,1,0,0,0,0
0.133,137.13,33,,,14.89,7.56,12.77,9.16,8,23,1,1,0,0,0
0.167,133.67,35,,,15.63,7.92,14.25,10.02,8,25,1,1,0,0,0
0.2,250.87,36,,,16.11,8.16,15.21,10.82,9,25,1,1,0,0,0
0.234,149.74,35,,,16.77,8.42,15.14,10.11,8,26,1,0,0,0,0
0.267,134.1,33,,,17.2,8.59,14.74,9.3,7,25,1,0,0,0,0
0.3,125.49,37,,,16.78,8.49,15.18,9.23,9,27,1,0,0,0,0
0.334,113.92,34,,,16.51,8.42,15.12,8.84,7,26,1,0,0,0,0
0.367,141.54,32,,,15.98,8.27,15.08,9.35,7,23,1,1,0,0,0
0.4,134.42,29,,,15.29,8.07,14.7,9.58,7,20,1,1,0,0,0
0.434,144.7,32,,,15.19,8.05,14.45,9.72,8,22,1,1,0,0,0
0.467,129.34,31,,,14.42,7.58,14.3,9.82,8,21,1,1,0,0,0
0.501,124.21,33,,,13.92,7.02,15.59,10.3,7,24,1,1,0,0,0
0.534,138.19,32,,,13.6,6.67,16.08,10.51,7,23,1,1,0,0,0
0.567,137.95,29,,,13.04,6.33,15.71,10.44,7,20,1,1,0,0,0
0.601,120.11,30,,,12.33,6.0,16.51,10.95,7,21,1,1,0,0,0
0.634,124.27,30,,,12.21,5.9,16.68,10.93,6,22,1,1,0,0,0
0.667,158.34,32,,,12.84,6.53,16.44,10.82,8,22,1,1,0,0,0
0.701,145.17,34,,,13.59,6.8,16.64,11.09,8,24,1,1,0,0,0
0.734,192.55,33,,,14.44,7.32,16.41,11.16,9,22,1,1,0,0,0
0.767,155.56,32,,,13.93,7.11,16.97,11.42,8,22,1,1,0,0,0
0.801,143.84,33,,,13.96,7.07,16.98,11.24,7,24,1,1,0,0,0
0.834,142.45,33,,,14.32,7.15,16.64,11.26,8,23,1,1,0,0,0
0.868,137.03,32,,,14.56,7.2,16.06,10.92,7,23,1,1,0,0,0
0.901,133.24,33,,,14.71,7.24,16.04,11.06,8,23,1,1,0,0,0
0.934,137.58,33,,,15.51,7.47,15.68,10.51,8,24,1,0,0,0,0
0.968,143.38,32,,,14.98,7.3,15.79,10.26,8,23,1,0,0,0,0
1.001,152.4,28,,,13.94,6.99,15.16,9.89,8,19,1,0,0,0,0
1.034,137.7,31,,,14.66,7.2,14.76,9.65,8,22,1,0,0,0,0
1.068,212.64,33,,,15.13,7.34,15.19,10.47,8,23,1,1,0,0,0
1.101,143.98,33,,,15.08,7.33,15.47,11.01,8,23,1,1,0,0,0
1.134,119.06,32,,,14.7,7.21,15.66,11.35,8,22,1,1,0,0,0
1.168,128.34,36,,,14.81,7.24,16.83,12.14,9,25,1,1,0,0,0
1.201,157.95,36,,,15.58,7.47,16.89,12.2,8,26,1,1,0,0,0
1.235,152.47,35,,,16.77,8.08,16.23,11.25,9,25,1,0,0,0,0
1.268,143.71,32,,,17.2,8.37,15.1,11.2,9,21,1,1,0,0,0
1.301,127.8,31,,,16.78,8.34,14.71,11.27,9,20,1,1,0,0,0
1.335,141.47,30,,,16.16,7.98,14.46,11.07,7,21,1,1,0,0,0
1.368,131.44,33,,,15.75,7.74,15.35,11.26,7,24,1,1,0,0,0
1.401,141.99,32,,,16.54,7.9,14.53,11.2,8,22,1,1,0,0,0
1.435,125.43,34,,,17.05,8.01,15.04,11.48,8,24,1,1,0,0,0
1.468,143.0,32,,,17.03,7.97,15.03,11.56,8,22,1,1,0,0,0
1.502,124.35,27,,,15.62,7.28,14.67,11.26,6,19,1,1,0,0,0
1.535,183.95,32,,,16.1,7.5,14.43,11.06,7,23,1,1,0,0,0
1.568,138.95,32,,,16.07,7.53,14.63,11.04,7,23,1,1,0,0,0
