t_s,infer_ms,n_boxes,phase,stage,n_N,pcu_N,n_E,pcu_E,det_car,det_motorcycle,det_bus,det_truck,det_ambulance,det_bicycle,det_autorickshaw
0.0,1734.77,9,E,GREEN,0.35,0.1,2.1,2.38,5,3,0,1,0,0,0
0.033,37.94,9,E,GREEN,0.58,0.17,3.46,3.93,5,3,0,1,0,0,0
0.067,43.34,9,E,GREEN,0.73,0.22,4.35,4.93,5,3,0,1,0,0,0
0.1,42.05,9,E,GREEN,1.17,0.6,4.58,5.24,5,3,0,1,0,0,0
0.133,40.87,8,E,GREEN,1.46,0.84,4.38,5.33,5,2,0,1,0,0,0
0.167,43.17,8,E,GREEN,1.3,0.65,4.59,5.74,5,2,0,1,0,0,0
0.2,43.89,10,E,GREEN,1.54,0.88,4.74,5.48,7,2,0,1,0,0,0
0.233,35.14,8,E,GREEN,1.35,0.68,4.83,5.84,5,2,0,1,0,0,0
0.267,35.14,9,E,GREEN,1.58,0.89,4.54,5.19,6,2,0,1,0,0,0
0.3,43.43,9,E,GREEN,1.38,0.69,5.05,5.76,4,4,0,1,0,0,0
0.333,36.17,10,E,GREEN,1.25,0.55,5.38,6.12,5,4,0,1,0,0,0
0.367,41.45,9,E,GREEN,1.51,0.81,5.25,6.25,6,2,0,1,0,0,0
0.4,36.12,10,E,GREEN,1.68,0.98,5.16,5.82,7,2,0,1,0,0,0
0.433,40.72,10,E,GREEN,1.44,0.74,5.46,5.88,7,2,0,1,0,0,0
0.467,41.04,10,E,GREEN,1.29,0.59,5.65,5.92,7,2,0,1,0,0,0
0.5,41.96,11,E,GREEN,1.54,0.84,5.77,5.95,8,2,0,1,0,0,0
0.533,42.36,10,E,GREEN,1.7,1.0,5.45,5.6,7,2,0,1,0,0,0
0.567,38.59,8,E,GREEN,1.8,1.1,4.59,4.69,5,2,0,1,0,0,0
0.6,34.21,10,E,GREEN,1.87,1.17,4.69,4.69,7,2,0,1,0,0,0
0.633,39.95,9,E,GREEN,1.92,1.22,4.45,4.21,5,3,0,1,0,0,0
0.667,35.37,10,E,GREEN,1.95,1.25,4.64,4.24,6,3,0,1,0,0,0
0.7,42.66,13,E,GREEN,1.97,1.27,5.47,4.96,8,4,0,1,0,0,0
0.733,43.14,12,E,GREEN,1.98,1.28,5.65,5.32,8,3,0,1,0,0,0
0.767,46.12,13,E,GREEN,1.99,1.29,5.78,5.56,8,4,0,1,0,0,0
0.8,41.09,13,E,GREEN,1.99,1.29,5.85,5.71,8,4,0,1,0,0,0
0.833,40.11,11,E,GREEN,1.64,0.94,5.91,5.81,7,3,0,1,0,0,0
0.867,41.21,10,E,GREEN,2.12,1.17,5.24,5.18,6,3,0,1,0,0,0
0.9,42.94,10,E,GREEN,2.08,0.97,4.8,4.77,5,4,0,1,0,0,0
0.933,35.63,10,E,GREEN,2.05,0.84,4.84,4.84,6,3,0,1,0,0,0
0.967,42.66,11,E,GREEN,2.03,0.76,5.24,5.24,7,3,0,1,0,0,0
1.0,44.98,11,E,GREEN,2.37,0.81,5.16,5.16,6,4,0,1,0,0,0
1.033,43.13,11,E,GREEN,2.24,0.73,5.45,5.45,7,3,0,1,0,0,0
1.067,36.73,11,E,GREEN,2.16,0.69,5.29,5.29,6,4,0,1,0,0,0
1.1,41.97,11,E,GREEN,2.45,1.01,4.84,4.84,7,3,0,1,0,0,0
1.133,39.21,9,E,GREEN,2.29,0.86,4.55,4.55,5,3,0,1,0,0,0
1.167,35.8,10,E,GREEN,2.54,1.12,4.36,4.36,7,2,0,1,0,0,0
1.2,42.86,10,E,GREEN,2.35,0.94,4.23,4.23,6,3,0,1,0,0,0
1.233,40.05,12,E,GREEN,2.58,1.17,4.5,4.26,7,4,0,1,0,0,0
1.267,34.88,10,E,GREEN,2.73,1.32,4.33,4.17,7,2,0,1,0,0,0
1.3,39.15,7,E,GREEN,2.47,1.07,3.51,3.41,4,2,0,1,0,0,0
1.333,39.23,8,E,GREEN,2.66,1.25,2.98,2.92,5,2,0,1,0,0,0
