topology,shape,level,total_demand_vph,n_seeds,noise,red_vs_fixed_equal,red_vs_fixed_webster,relay_mean_wait,relay_p95_wait,relay_throughput_vph,fixed_equal_mean_wait,fixed_equal_p95_wait,fixed_equal_throughput_vph,fixed_webster_mean_wait,fixed_webster_p95_wait,fixed_webster_throughput_vph
4-way,asymmetric,0.4,511.2,25,0.2,55.65,41.53,4.527,11.0,520.8,10.242,23.22,521.28,7.759,21.96,521.376
4-way,asymmetric,0.6,766.8,25,0.2,52.92,38.65,5.13,12.04,778.272,10.927,23.46,778.464,8.377,23.7,778.656
4-way,asymmetric,0.8,1022.4,25,0.2,51.75,35.01,5.718,13.0,1024.512,11.881,23.88,1025.28,8.816,24.8,1025.376
4-way,asymmetric,1.0,1278.0,25,0.2,53.12,32.59,6.52,14.52,1281.984,14.076,31.16,1284.0,9.676,26.02,1284.48
4-way,asymmetric,1.2,1533.6,25,0.2,61.58,31.99,7.129,16.16,1523.232,19.09,47.18,1528.32,10.526,29.18,1525.056
4-way,asymmetric,1.4,1789.2,25,0.2,80.09,30.12,7.856,18.52,1778.016,44.619,113.7,1751.424,11.262,31.12,1781.76
4-way,asymmetric,1.6,2044.8,25,0.2,90.6,30.87,8.837,20.82,2019.936,97.131,258.88,1875.456,12.822,39.0,2021.952
4-way,asymmetric,1.8,2300.4,25,0.2,93.67,27.93,10.575,26.58,2302.272,169.471,425.52,1960.608,14.738,45.9,2312.64
4-way,balanced,0.4,512.6,25,0.2,47.57,44.73,5.334,11.64,515.52,10.201,23.24,513.696,9.663,20.98,515.328
4-way,balanced,0.6,769.0,25,0.2,41.64,37.58,6.134,13.32,780.768,10.519,23.4,778.368,9.849,21.0,781.056
4-way,balanced,0.8,1025.3,25,0.2,37.85,34.59,6.837,14.42,1034.304,11.013,23.44,1032.192,10.472,21.1,1032.672
4-way,balanced,1.0,1281.6,25,0.2,34.57,32.8,7.523,16.38,1284.672,11.508,23.58,1284.96,11.218,22.06,1285.92
4-way,balanced,1.2,1537.9,25,0.2,30.83,27.75,8.519,18.62,1546.464,12.33,24.2,1546.56,11.812,23.24,1543.008
4-way,balanced,1.4,1794.2,25,0.2,28.21,28.8,9.522,20.82,1781.088,13.275,25.92,1780.8,13.386,26.98,1778.208
4-way,balanced,1.6,2050.6,25,0.2,26.73,27.48,10.734,23.8,2040.96,14.672,30.52,2042.688,14.825,29.74,2040.48
4-way,balanced,1.8,2306.9,25,0.2,29.05,25.79,12.936,29.0,2308.704,18.463,42.8,2309.568,17.476,36.96,2300.64
4-way,single,0.4,511.2,25,0.2,57.11,40.6,4.767,11.22,507.264,11.152,23.46,507.552,8.061,22.44,507.36
4-way,single,0.6,766.8,25,0.2,60.43,37.04,5.558,12.64,772.992,14.324,31.8,774.144,8.844,23.96,773.184
4-way,single,0.8,1022.4,25,0.2,78.63,33.88,6.538,14.34,1026.432,37.232,83.24,1017.792,9.916,27.06,1024.512
4-way,single,1.0,1278.0,25,0.2,94.15,31.81,7.904,17.74,1280.064,146.942,323.0,1122.24,11.646,35.56,1273.92
4-way,single,1.2,1533.6,25,0.2,96.01,41.03,9.712,23.52,1551.072,246.597,567.98,1195.488,16.857,68.32,1555.872
4-way,single,1.4,1789.2,25,0.2,95.76,36.64,13.029,33.04,1800.48,307.523,710.0,1274.112,20.924,84.8,1796.832
4-way,single,1.6,2044.8,25,0.2,92.86,19.84,25.618,63.94,2082.144,357.101,836.54,1360.32,32.004,127.84,2073.12
4-way,single,1.8,2300.4,25,0.2,77.52,-37.91,89.704,195.38,2195.328,396.546,937.42,1428.768,64.378,183.42,2256.672
4-way,one_axis,0.4,460.8,25,0.2,61.47,42.74,3.93,10.3,469.632,10.236,23.3,470.4,6.882,17.54,469.536
4-way,one_axis,0.6,691.2,25,0.2,60.36,38.71,4.365,11.26,698.496,11.032,23.4,699.168,7.14,18.36,698.688
4-way,one_axis,0.8,921.6,25,0.2,61.1,39.05,4.649,11.78,925.152,11.982,24.1,926.208,7.629,19.6,925.056
4-way,one_axis,1.0,1152.0,25,0.2,62.84,37.07,5.184,12.68,1147.584,14.084,30.22,1148.832,8.25,20.12,1147.584
