topology,shape,level,total_demand_vph,n_seeds,noise,red_vs_fixed_equal,red_vs_fixed_webster,relay_mean_wait,relay_p95_wait,relay_throughput_vph,fixed_equal_mean_wait,fixed_equal_p95_wait,fixed_equal_throughput_vph,fixed_webster_mean_wait,fixed_webster_p95_wait,fixed_webster_throughput_vph
4-way,asymmetric,0.4,511.2,25,0.0,0.78,-31.22,10.184,46.1,518.112,10.298,23.38,516.672,7.801,21.08,518.016
4-way,asymmetric,0.6,766.8,25,0.0,19.0,-7.53,8.888,34.82,778.656,11.02,23.56,780.192,8.309,22.62,779.136
4-way,asymmetric,0.8,1022.4,25,0.0,24.24,-0.48,8.876,30.54,1020.096,11.772,24.0,1021.824,8.874,24.58,1021.44
4-way,asymmetric,1.0,1278.0,25,0.0,32.54,1.59,9.392,28.62,1275.648,13.979,30.02,1276.704,9.562,25.84,1274.4
4-way,asymmetric,1.2,1533.6,25,0.0,44.99,5.21,10.094,28.32,1541.088,18.818,47.12,1544.256,10.695,30.16,1541.472
4-way,asymmetric,1.4,1789.2,25,0.0,72.84,5.8,11.0,29.14,1801.536,45.651,126.26,1763.808,11.716,33.24,1803.84
4-way,asymmetric,1.6,2044.8,25,0.0,87.86,7.96,11.962,30.8,2052.768,103.028,267.62,1888.992,13.045,38.46,2055.552
4-way,asymmetric,1.8,2300.4,25,0.0,91.88,11.03,13.106,33.54,2305.152,165.848,409.62,1966.368,14.783,44.4,2315.808
4-way,balanced,0.4,512.6,25,0.0,-10.76,-15.64,11.07,42.08,526.656,10.012,23.32,525.216,9.595,20.86,525.216
4-way,balanced,0.6,769.0,25,0.0,0.8,-4.87,10.386,30.98,782.304,10.502,23.38,781.248,9.91,20.98,782.112
4-way,balanced,0.8,1025.3,25,0.0,4.07,0.46,10.478,27.34,1043.232,10.938,23.5,1044.384,10.534,21.08,1042.944
4-way,balanced,1.0,1281.6,25,0.0,1.91,0.47,11.192,26.02,1290.24,11.421,23.58,1289.76,11.25,21.82,1290.624
4-way,balanced,1.2,1537.9,25,0.0,0.86,-1.3,12.004,26.04,1540.224,12.125,24.04,1538.4,11.876,22.88,1534.176
4-way,balanced,1.4,1794.2,25,0.0,2.03,3.57,12.873,26.68,1778.208,13.162,26.1,1778.208,13.37,27.02,1773.024
4-way,balanced,1.6,2050.6,25,0.0,6.72,6.66,13.725,27.7,2036.64,14.764,30.46,2037.792,14.737,29.54,2037.312
4-way,balanced,1.8,2306.9,25,0.0,16.67,13.0,15.031,30.38,2293.728,18.186,41.32,2294.976,17.321,36.4,2286.528
4-way,single,0.4,511.2,25,0.0,9.83,-29.8,10.195,44.14,517.056,11.35,23.6,518.208,7.885,22.36,517.248
4-way,single,0.6,766.8,25,0.0,34.24,-5.33,9.295,36.24,772.704,14.458,32.94,772.992,8.852,23.42,772.512
4-way,single,0.8,1022.4,25,0.0,66.5,-1.43,9.943,34.04,1034.976,34.869,78.92,1021.728,9.829,26.28,1031.328
4-way,single,1.0,1278.0,25,0.0,92.27,5.5,10.951,33.68,1288.992,146.504,326.06,1125.792,11.635,35.76,1281.984
4-way,single,1.2,1533.6,25,0.0,94.65,24.3,12.625,36.62,1532.928,239.173,542.46,1194.816,17.133,69.82,1537.056
4-way,single,1.4,1789.2,25,0.0,94.71,23.48,16.119,45.44,1800.096,305.002,703.58,1273.536,21.523,86.1,1793.76
4-way,single,1.6,2044.8,25,0.0,93.03,19.97,25.132,69.34,2057.184,360.309,836.7,1346.4,31.97,127.06,2043.84
4-way,single,1.8,2300.4,25,0.0,81.89,-17.56,73.088,184.56,2238.816,397.991,937.6,1421.76,61.449,173.98,2237.856
4-way,one_axis,0.4,460.8,25,0.0,9.5,-36.6,9.559,41.66,469.44,10.62,23.36,468.96,7.003,17.96,468.96
4-way,one_axis,0.6,691.2,25,0.0,24.33,-14.89,8.251,34.64,704.64,10.935,23.48,706.848,7.212,18.02,705.408
4-way,one_axis,0.8,921.6,25,0.0,33.68,-4.1,7.954,32.54,930.24,12.053,24.22,930.144,7.672,19.76,929.472
4-way,one_axis,1.0,1152.0,25,0.0,43.2,0.91,7.968,29.44,1142.208,14.069,29.48,1142.976,8.063,19.48,1142.784
4-way,one_axis,1.2,1382.4,25,0.0,54.69,3.32,8.346,29.24,1386.048,18.855,42.52,1386.336,8.638,20.9,1385.76
4-way,one_axis,1.4,1612.8,25,0.0,75.76,6.28,8.822,29.28,1616.16,38.521,88.98,1599.168,9.438,23.36,1619.808
4-way,one_axis,1.6,1843.2,25,0.0,90.47,5.54,9.485,29.98,1843.008,105.296,221.02,1696.224,10.053,26.46,1842.432
4-way,one_axis,1.8,2073.6,25,0.0,94.58,5.52,10.263,31.02,2094.048,192.847,383.9,1735.2,10.879,30.38,2093.952
4-way,three_heavy,0.4,511.2,25,0.0,-5.96,-10.34,10.712,38.9,527.808,10.13,23.44,526.464,9.747,20.96,526.752
4-way,three_heavy,0.6,766.8,25,0.0,5.36,1.43,10.039,30.28,778.848,10.629,23.4,778.08,10.202,21.06,776.832
4-way,three_heavy,0.8,1022.4,25,0.0,8.22,5.37,10.478,27.18,1029.504,11.434,23.54,1030.656,11.093,21.56,1030.656
4-way,three_heavy,1.0,1278.0,25,0.0,5.59,2.03,11.354,26.74,1270.944,12.037,23.94,1269.888,11.609,23.1,1266.24
4-way,three_heavy,1.2,1533.6,25,0.0,4.99,6.64,12.514,27.18,1527.264,13.193,26.18,1528.8,13.423,26.7,1518.144
4-way,three_heavy,1.4,1789.2,25,0.0,14.12,12.8,13.765,28.64,1781.472,16.141,35.42,1782.816,15.828,32.4,1786.752
4-way,three_heavy,1.6,2044.8,25,0.0,30.46,19.96,15.403,31.76,2042.304,22.94,54.42,2042.688,19.428,41.28,2043.264
4-way,three_heavy,1.8,2300.4,25,0.0,55.03,25.46,17.898,38.36,2288.64,43.152,99.24,2252.448,24.078,50.3,2282.976
4-way,lopsided,0.4,504.0,25,0.0,4.67,-17.84,10.052,41.94,512.832,10.59,23.4,513.408,8.549,24.2,512.256
4-way,lopsided,0.6,756.0,25,0.0,17.97,-1.51,9.495,34.12,765.984,11.625,24.22,766.08,9.37,25.58,763.008
4-way,lopsided,0.8,1008.0,25,0.0,29.74,1.58,10.031,30.64,1011.456,14.489,33.36,1010.88,10.223,27.4,1007.424
4-way,lopsided,1.0,1260.0,25,0.0,60.42,3.65,10.704,29.8,1267.488,31.314,77.7,1258.848,11.142,29.72,1262.4
4-way,lopsided,1.2,1512.0,25,0.0,86.55,8.71,12.121,31.08,1521.984,99.282,254.8,1406.592,13.37,38.26,1525.44
4-way,lopsided,1.4,1764.0,25,0.0,92.0,13.56,13.767,34.98,1779.84,175.629,474.6,1504.32,16.077,46.12,1780.224
4-way,lopsided,1.6,2016.0,25,0.0,92.47,19.0,16.354,41.54,2001.216,219.689,604.18,1601.184,20.418,63.2,1999.968
4-way,lopsided,1.8,2268.0,25,0.0,90.56,23.87,24.463,65.2,2258.016,259.608,718.08,1714.08,32.559,105.36,2251.296
4-way,near_equal,0.4,512.6,25,0.0,-11.07,-14.6,11.064,41.2,526.656,10.003,23.22,524.832,9.7,21.12,524.256
4-way,near_equal,0.6,769.0,25,0.0,4.89,-1.65,10.156,30.6,784.32,10.7,23.46,782.4,10.007,21.22,780.864
4-way,near_equal,0.8,1025.3,25,0.0,1.98,-1.09,10.603,27.5,1042.464,10.831,23.5,1041.792,10.502,21.4,1040.16
4-way,near_equal,1.0,1281.6,25,0.0,3.27,0.05,11.208,26.36,1287.168,11.6,23.68,1286.304,11.229,22.1,1281.12
4-way,near_equal,1.2,1537.9,25,0.0,1.0,-1.17,11.939,26.0,1532.832,12.068,23.86,1534.752,11.811,22.94,1538.88
4-way,near_equal,1.4,1794.2,25,0.0,3.26,3.62,12.71,26.56,1775.616,13.158,26.14,1775.808,13.212,26.38,1779.744
4-way,near_equal,1.6,2050.6,25,0.0,7.25,8.12,13.8,27.98,2033.568,14.938,31.96,2033.376,15.053,30.46,2031.168
4-way,near_equal,1.8,2306.9,25,0.0,18.84,13.18,15.162,30.96,2299.2,18.891,44.64,2298.72,17.54,37.46,2300.064
T,t_balanced,0.4,432.0,25,0.0,0.32,-5.07,10.145,38.24,436.8,10.219,23.32,435.36,9.705,21.0,436.896
T,t_balanced,0.6,648.0,25,0.0,10.0,5.22,9.668,30.44,654.048,10.775,23.48,652.704,10.223,21.0,652.896
T,t_balanced,0.8,864.0,25,0.0,10.49,9.37,9.896,27.2,864.96,11.083,23.54,865.92,10.937,21.84,866.208
T,t_balanced,1.0,1080.0,25,0.0,8.63,8.67,10.724,26.28,1071.648,11.736,23.74,1073.76,11.755,23.04,1073.184
T,t_balanced,1.2,1296.0,25,0.0,9.53,9.92,11.719,26.8,1273.248,12.98,25.62,1272.672,13.043,26.24,1271.904
T,t_balanced,1.4,1512.0,25,0.0,10.72,11.26,12.985,27.56,1489.056,14.591,30.14,1487.136,14.662,30.2,1483.968
T,t_balanced,1.6,1728.0,25,0.0,22.89,17.77,14.174,29.82,1708.032,18.764,44.4,1707.744,17.41,37.06,1707.648
T,t_balanced,1.8,1944.0,25,0.0,36.05,22.05,15.951,33.42,1930.368,25.692,60.42,1923.36,20.583,43.08,1932.864
T,t_arterial,0.4,547.2,25,0.0,26.39,-5.35,7.761,29.94,551.808,10.582,23.44,549.792,7.4,18.34,549.504
T,t_arterial,0.6,820.8,25,0.0,36.08,6.34,7.389,25.56,821.76,11.597,23.7,820.416,7.894,19.44,819.84
T,t_arterial,0.8,1094.4,25,0.0,42.55,12.45,7.677,24.84,1077.6,13.48,27.84,1077.024,8.794,22.12,1075.104
T,t_arterial,1.0,1368.0,25,0.0,53.56,11.6,8.687,26.1,1363.968,19.006,45.96,1364.064,9.863,25.96,1360.224
T,t_arterial,1.2,1641.6,25,0.0,74.22,9.09,9.853,27.1,1645.728,43.852,104.44,1617.12,10.882,27.96,1645.728
T,t_arterial,1.4,1915.2,25,0.0,91.07,10.55,10.886,28.68,1920.96,128.841,250.26,1725.408,12.242,33.4,1927.968
T,t_arterial,1.6,2188.8,25,0.0,94.17,14.24,12.222,31.48,2180.256,213.674,420.36,1761.216,14.329,39.14,2176.416
T,t_arterial,1.8,2462.4,25,0.0,94.86,16.99,14.709,38.22,2466.912,289.156,570.96,1796.544,17.851,52.78,2458.752
